과정제공기관,과정명,교육시작일자,교육종료일자
한국고용노동교육원,(직장교육_고객지원팀) 민원마스터 활동 및 민원행정 기법 교육,2022-12-07,2022-12-09
고용노동부,e발주시스템이용실무,2022-12-07,2022-12-07
국립국어원,공공언어 특별과정(2),2022-12-07,2022-12-08
한국고용노동교육원,[기본]수사학교(수사실습과정1),2022-12-07,2022-12-09
국가공무원인재개발원,R 빅데이터 분석,2022-12-07,2022-12-09
고용노동부,(직장교육_노동시장조사과) 통계처리 소프트웨어(SAS) 교육,2022-12-08,2022-12-09
한국고용노동교육원,[기본]공공부문노사관계 이해과정,2022-12-08,2022-12-09
고용노동부,보고듣고말하기 2.0 기본편(자살예방 생명지킴이 게이트키퍼 양성 교육),2022-12-09,2022-12-09
국가공무원인재개발원,데이터기반 업무능력 향상과정,2022-12-09,2022-12-13
법무연수원,(직장교육)근로감독기획과_특별사법경찰관 수사실무과정,2022-12-12,2022-12-16
국가공무원인재개발원,(국가인재원) 사무자동화(OA) 활용,2022-12-12,2022-12-14
공공조달역량개발원,물품용역계약실무,2022-12-12,2022-12-14
고용노동부,보고듣고말하기 2.0 기본편(자살예방 생명지킴이 게이트키퍼 양성 교육),2022-12-13,2022-12-13
고용노동부,산업안전보건규칙의 이해(안전기초),2022-12-14,2022-12-30
고용노동부,산업안전보건규칙의 이해(보건기초),2022-12-14,2022-12-30
국가공무원인재개발원,빅데이터 분석기반의 정책수립 과정,2022-12-14,2022-12-16
고용노동부,산업안전보건규칙의 이해(건설기초),2022-12-14,2022-12-30
고용노동부,보고듣고말하기 2.0 기본편(자살예방 생명지킴이 게이트키퍼 양성 교육),2022-12-16,2022-12-16
인사혁신처,세종정책포럼,2022-12-19,2022-12-19
대검찰청,근로감독관 인권감수성 향상과정,2022-12-21,2022-12-23
고용노동부,보고듣고말하기 2.0 기본편(자살예방 생명지킴이 게이트키퍼 양성 교육),2022-12-22,2022-12-22
고용노동부,보고듣고말하기 2.0 기본편(자살예방 생명지킴이 게이트키퍼 양성 교육),2022-12-23,2022-12-23
인사혁신처,CES 2023 과정(온라인),2023-01-06,2023-01-12
한국고용노동교육원,[신규]신규조사관과정(5급),2023-01-30,2023-02-01
국가민방위재난안전교육원,을지연습 및 충무훈련과정,2023-02-02,2023-02-03
한국고용노동교육원,[신규]신규조사관과정(6급이하),2023-02-06,2023-02-10
한국고용노동교육원,"7,9급 신규임용자 기초소양과정(상반기)",2023-02-06,2023-02-17
한국고용노동교육원,[신규]신규근로감독관과정(업무전환자),2023-02-07,2023-03-03
공공조달역량개발원,물품관리일반,2023-02-07,2023-02-07
산업안전보건교육원,[의무]위험성평가 과정,2023-02-08,2023-02-08
고용노동부,산업안전보건규칙의 이해(건설기초),2023-02-09,2023-05-31
산업안전보건교육원,[의무]위험성평가 과정,2023-02-09,2023-02-09
고용노동부,산업안전보건규칙의 이해(보건기초),2023-02-09,2023-05-31
고용노동부,산업안전보건규칙의 이해(안전기초),2023-02-09,2023-05-31
한국고용노동교육원,본부전입자 기획실무과정,2023-02-09,2023-02-10
국가민방위재난안전교육원,비상대비업무 신규실무자과정,2023-02-13,2023-02-14
한국고용노동교육원,[신규]신규산업안전감독관과정(법령입문),2023-02-13,2023-02-17
국가공무원인재개발원,2022년 제67기 신임관리자과정(경채),2023-02-13,2023-04-14
고용노동부,신임과장과정,2023-02-14,2023-02-17
산업안전보건교육원,[의무]위험성평가 과정,2023-02-15,2023-02-15
산업안전보건교육원,[의무]위험성평가 과정,2023-02-16,2023-02-16
산업안전보건교육원,[의무]위험성평가 과정,2023-02-17,2023-02-17
인사혁신처,2023년 상반기 외국어 위탁교육,2023-02-18,2023-06-17
한국고용노동교육원,[기본]근로감독기본과정,2023-02-20,2023-02-22
산업안전보건교육원,[신규]신규산업안전감독관과정(감독학교),2023-02-20,2023-03-17
법제처,법령입안기본과정,2023-02-20,2023-02-21
국가공무원인재개발원,5급 승진관리자과정,2023-02-20,2023-03-31
한국고용노동교육원,[신규]고용업무전환자과정(국민취업지원),2023-02-20,2023-02-24
한국고용노동교육원,[신규]고용업무전환자과정(취업지원),2023-02-20,2023-02-24
한국고용노동교육원,[신규]고용업무전환자과정(실업급여),2023-02-20,2023-02-24
한국고용노동교육원,[전문]기업도약보장패키지이해과정,2023-02-20,2023-02-24
국가공무원인재개발원,고위공무원단후보자과정,2023-02-21,2023-02-24
한국고용노동교육원,[기본]근로시간실무과정,2023-02-23,2023-02-24
한국고용노동교육원,근로개선지도과장과정,2023-02-23,2023-02-24
한국고용노동교육원,[기본]노동권익지원관기본과정,2023-02-23,2023-02-24
한국고용노동교육원,[기본]고용허가제도실무과정,2023-02-27,2023-02-27
고용노동부,산업안전보건규칙의 이해(안전기초),2023-02-27,2023-03-17
한국고용노동교육원,[기본]국민내일배움카드과정,2023-02-27,2023-02-28
법제처,법령해석과정(중앙),2023-02-27,2023-02-28
한국고용노동교육원,7급 신규임용자 기초소양과정(민경채),2023-02-27,2023-03-03
한국고용노동교육원,2023년 7·9급 신규임용자 고용분야 기본직무과정,2023-02-27,2023-03-17
한국고용노동교육원,[기본]취업지원서비스이해과정,2023-02-28,2023-02-28
국가공무원인재개발원,관리자대상 소통역량 교육과정,2023-02-28,2023-02-28
한국고용노동교육원,[기본]청년고용정책 및 취업지원상담과정,2023-03-02,2023-03-03
한국고용노동교육원,[기본]실업급여 수급자격 및 이직확인서 실무과정,2023-03-02,2023-03-02
공공조달역량개발원,시설공사계약실무,2023-03-02,2023-03-03
한국고용노동교육원,[기본]실업인정 및 재취업지원업무 실무과정,2023-03-03,2023-03-03
고용노동부,23년 임금의 이해,2023-03-06,2023-03-24
한국고용노동교육원,[신규]고용업무전환자과정(직업능력개발),2023-03-06,2023-03-10
고용노동부,23년 근로기준법의 이해,2023-03-06,2023-03-24
고용노동부,23년 최저임금법의 이해,2023-03-06,2023-03-24
고용노동부,23년 고용안정사업의 이해,2023-03-06,2023-03-24
국가공무원인재개발원,엑셀로 배우는 초급 데이터 분석(교육공지 확인 후 신청),2023-03-06,2023-03-07
한국고용노동교육원,[신규]고용업무전환자과정(기업지원),2023-03-06,2023-03-10
고용노동부,23년 취업지원의 이해 및 활용,2023-03-06,2023-03-24
고용노동부,23년 중대재해처벌법의 이해,2023-03-06,2023-03-24
고용노동부,23년 노동조합 및 노동관계조정법 실무,2023-03-06,2023-03-24
고용노동부,23년 고용보험법 최근 개정사항,2023-03-06,2023-03-24
공공조달역량개발원,소액수의제도 안내,2023-03-06,2023-03-06
한국고용노동교육원,MZ세대와 함께하기 위한 세대공감과정,2023-03-06,2023-03-07
고용노동부,23년 노동사범 수사실무,2023-03-06,2023-03-24
한국고용노동교육원,7급 핵심역량과정,2023-03-06,2023-03-08
고용노동부,"23년 근로시간 휴일, 휴가제도의 이해",2023-03-06,2023-03-24
고용노동부,23년 국민내일배움카드 이해과정,2023-03-06,2023-03-24
국립국어원,국어전문교육과정,2023-03-06,2023-03-09
고용노동부,23년 청년내일채움공제 업무처리 실무,2023-03-06,2023-03-24
고용노동부,23년 NCS직업분류의 이해,2023-03-06,2023-03-24
고용노동부,23년 실업급여의 이해,2023-03-06,2023-03-24
고용노동부,23년 신고사건 업무처리 실무,2023-03-06,2023-03-24
한국고용노동교육원,[신규]고용업무전환자과정(지역협력),2023-03-06,2023-03-10
한국고용노동교육원,[기본]근로기준법이해과정,2023-03-06,2023-03-08
한국고용노동교육원,[기본]디지털증거분석 수사역량 향상 기초과정,2023-03-06,2023-03-10
공공조달역량개발원,"나라장터(물품,용역)",2023-03-07,2023-03-07
한국고용정보원,[심화]성취 프로그램 진행자 양성과정,2023-03-07,2023-03-10
국가공무원인재개발원,과장후보자 역량레벨업과정,2023-03-07,2023-03-08
국가공무원인재개발원,파이썬 이해하기(교육공지 확인 후 신청),2023-03-08,2023-03-10
한국고용노동교육원,4차 산업혁명과 미래사회의 핵심기술,2023-03-08,2023-03-09
한국고용노동교육원,"8 ,9급 핵심역량과정",2023-03-08,2023-03-10
국가공무원인재개발원,규제혁신 실천과정(교육공지 확인 후 신청),2023-03-09,2023-03-10
고용노동부,(직장교육_서울청) ’23년 전국 지방관서 징수업무담당자 교육,2023-03-09,2023-03-09
한국고용노동교육원,2023년 선정 학습조직(비지정학습),2023-03-10,2023-11-30
한국고용노동교육원,2023년 선정 학습조직(지정학습),2023-03-10,2023-11-30
한국고용노동교육원,[신규]고용업무전환자과정(고용보험수사관),2023-03-13,2023-03-24
고용노동부,(지정)인공신경망과 딥러닝,2023-03-13,2023-03-31
법무연수원,국가송무과정,2023-03-13,2023-03-17
공공조달역량개발원,소액수의제도 안내,2023-03-13,2023-03-13
한국고용노동교육원,[신규]고용업무전환자과정(운영지원),2023-03-13,2023-03-17
고용노동부,(지정)정형데이터 분석,2023-03-13,2023-03-31
한국고용노동교육원,[기본]근로자성판단과정,2023-03-13,2023-03-13
한국고용노동교육원,[신규]고용업무전환자과정(외국인고용지원),2023-03-13,2023-03-16
한국고용노동교육원,선배들과 함께하기 위한 역세대공감과정,2023-03-13,2023-03-14
고용노동부,(지정)컴퓨팅사고,2023-03-13,2023-03-31
고용노동부,(지정)AI/빅데이터 활용,2023-03-13,2023-03-31
고용노동부,(지정)텍스트데이터 분석,2023-03-13,2023-03-31
고용노동부,(지정)데이터 시각화,2023-03-13,2023-03-31
고용노동부,산업안전보건규칙의 이해(보건기초),2023-03-13,2023-03-31
공공조달역량개발원,물품구매계약실무,2023-03-13,2023-03-14
국가공무원인재개발원,스마트 라이프 따라하기(교육공지 확인 후 신청),2023-03-13,2023-03-13
고용노동부,(직장교육_노동시장조사과) 고용노동통계조사 직업분류 담당자 교육,2023-03-13,2023-03-14
고용노동부,(지정)윤리 및 법제도,2023-03-13,2023-03-31
고용노동부,(지정)기계학습,2023-03-13,2023-03-31
국가공무원인재개발원,고위공무원단후보자과정,2023-03-14,2023-03-17
한국고용노동교육원,일/삶/조직의 의미를 찾는 I.O.U과정,2023-03-14,2023-03-14
고용노동부,신임과장과정,2023-03-14,2023-03-17
한국고용노동교육원,[기본]공공부문노사관계이해과정,2023-03-15,2023-03-17
법제처,중앙 행정규칙입안과정,2023-03-15,2023-03-15
국가공무원인재개발원,디지털 리터러시 이해하기(교육공지 확인 후 신청),2023-03-15,2023-03-17
한국고용노동교육원,"메타버스 협업 ,팀빌딩과정",2023-03-15,2023-03-16
한국고용노동교육원,[심화]근로감독심화과정,2023-03-15,2023-03-17
한국고용노동교육원,[기본]국민취업지원제도 실무1(수급자격 심사실무),2023-03-15,2023-03-15
한국고용노동교육원,[기본]국민취업지원제도 실무2(민간위탁사업관리),2023-03-16,2023-03-16
법제처,행정법실무기초(공통),2023-03-16,2023-03-16
한국고용노동교육원,빅데이터 이해와 데이터 중심 행정,2023-03-16,2023-03-16
한국고용노동교육원,[기본]국민취업지원제도 실무4(일경험 프로그램 운영),2023-03-17,2023-03-17
국가공무원인재개발원,사무자동화(OA) 활용(교육공지 확인 후 신청),2023-03-20,2023-03-22
국가공무원인재개발원,TCP/IP 네트워크 이해(교육공지 확인 후 신청),2023-03-20,2023-03-21
한국고용노동교육원,6급 승진자 직무과정,2023-03-20,2023-03-24
한국고용노동교육원,[기본]국민취업지원제도 실무3(취업지원서비스 및 구직촉진수당 지급실무),2023-03-20,2023-03-21
한국고용노동교육원,조직을 지탱하는 힘-Linker ship과정,2023-03-20,2023-03-22
사이버안전훈련센터,(직장교육_정보화기획팀) 정보보안 관리실태 평가,2023-03-20,2023-03-22
국가민방위재난안전교육원,을지연습 및 충무훈련과정,2023-03-20,2023-03-21
한국고용노동교육원,(직장교육_퇴직연금복지과)최소적립률 미충족 사업장 감독 및 조치방안 교육,2023-03-20,2023-03-20
한국전파진흥협회,(직장교육_정보화기획팀) 정보보안 관리자 초급(네트워크 보안),2023-03-20,2023-03-24
공공조달역량개발원,계약업무준비반,2023-03-20,2023-03-21
국가공무원인재개발원,메타버스의 이해와 활용(교육공지 확인 후 신청),2023-03-20,2023-03-21
한국고용노동교육원,[의무]중대재해처벌법 수사과정,2023-03-20,2023-03-22
법무연수원,[수사핵심]특사경수사실무과정,2023-03-20,2023-03-24
국가공무원인재개발원,과장후보자과정,2023-03-21,2023-03-23
공공조달역량개발원,시설공사원가계산실무,2023-03-21,2023-03-22
한국양성평등교육진흥원,(직장교육_양성평등정책담당관) 중앙행정기관 사업담당자 실습과정,2023-03-22,2023-03-22
한국고용노동교육원,[심화]도약보장패키지팀장과정,2023-03-22,2023-03-24
인사혁신처,세종리더십세미나,2023-03-22,2023-03-22
한국고용노동교육원,멘토-멘티 멘토링과정,2023-03-22,2023-03-24
한국고용정보원,[심화]비대면 성인구직자 프로그램(내일또다시) 진행자 양성과정,2023-03-22,2023-03-24
한국고용노동교육원,[기본]취업지도역량향상과정,2023-03-22,2023-03-22
법제처,공무원이 알아야 할 민법 핵심,2023-03-23,2023-03-24
공공조달역량개발원,나라장터이용(시설),2023-03-23,2023-03-23
한국고용노동교육원,[기본]고용업무를 위한 고용노동통계자료 활용과정,2023-03-23,2023-03-24
국립국어원,공공언어 특별과정(1),2023-03-23,2023-03-23
한국고용노동교육원,[기본]직무분석기본과정,2023-03-23,2023-03-23
한국고용노동교육원,(직장교육_퇴직연금복지과)최소적립률 미충족 사업장 감독 및 조치방안 교육,2023-03-23,2023-03-23
산업안전보건교육원,위험성평가담당자교육,2023-03-23,2023-03-24
한국고용노동교육원,비대면 업무환경에서의 리모트리더십과정,2023-03-24,2023-03-24
한국고용노동교육원,[기본]심사청구 실무과정,2023-03-24,2023-03-24
고용노동부,(직장교육_여성고용정책과)AA 제도 이해과정,2023-03-24,2023-03-24
고용노동부,산업안전보건규칙의 이해(건설기초),2023-03-27,2023-04-14
국가공무원인재개발원,빅데이터와 인공지능의 이해(교육공지 확인 후 신청),2023-03-27,2023-03-28
법무연수원,국가송무과정,2023-03-27,2023-03-31
한국고용노동교육원,[전문]구직자도약보장패키지이해과정,2023-03-27,2023-03-31
한국고용노동교육원,[기본]고용업무를 위한 법률이해과정1(노동법),2023-03-27,2023-03-28
한국고용노동교육원,자기주도적 리더십과정,2023-03-27,2023-03-29
산업안전보건교육원,관리감독자교육,2023-03-27,2023-03-29
한국고용노동교육원,[기본]고용창출장려금 실무과정,2023-03-27,2023-03-27
한국고용노동교육원,6급 핵심역량과정,2023-03-28,2023-03-30
한국고용노동교육원,[기본]고용안정장려금 실무과정,2023-03-28,2023-03-28
한국고용노동교육원,"몸 ,마음 돌봄을 위한 바디커뮤니케이션 ",2023-03-28,2023-03-29
고용노동부,(직장교육_협력지원계) 부내 공무직·기간제근로자 인사·노무 담당자 교육,2023-03-29,2023-03-29
국가공무원인재개발원,파이썬 실무 활용(교육공지 확인 후 신청),2023-03-29,2023-03-31
통계교육원,인구통계의 이해,2023-03-29,2023-03-31
한국고용노동교육원,(직장교육_고용차별개선과)비정규직 담당 근로감독관 직무교육,2023-03-29,2023-03-31
산업안전보건교육원,근골격계부담작업 유해요인조사 전문화교육,2023-03-29,2023-03-31
한국고용노동교육원,[심화]임금산정실무과정,2023-03-29,2023-03-31
국립국어원,공공언어 특별과정(2),2023-03-29,2023-03-30
인사혁신처,세종정책포럼,2023-03-29,2023-03-29
한국고용노동교육원,[기본]고용유지지원금 실무과정,2023-03-29,2023-03-29
한국고용노동교육원,퍼실리테이션을 활용한 회의기법과정,2023-03-29,2023-03-31
한국고용노동교육원,(직장교육_서울관악지청)근로감독관 업무역량 강화(학습의 날),2023-03-29,2023-03-29
법제처,법령입안심화과정,2023-03-29,2023-03-30
한국고용노동교육원,[기본]모성보호지원제도 실무과정,2023-03-30,2023-03-30
국무조정실,규제혁신 실무교육,2023-03-30,2023-03-30
한국고용노동교육원,클리어 커뮤니케이션 과정,2023-03-30,2023-03-30
고용노동부,(직장교육_여성고용정책과)AA 제도 이해과정,2023-03-30,2023-03-30
고용노동부,(직장교육_협력지원계) 부내 공무직·기간제근로자 인사·노무 담당자 교육,2023-03-31,2023-03-31
고용노동부,23년 신고사건 업무처리 실무,2023-04-03,2023-04-21
고용노동부,"23년 근로시간 휴일, 휴가제도의 이해",2023-04-03,2023-04-21
한국고용노동교육원,[의무]중대재해처벌법 수사과정,2023-04-03,2023-04-05
고용노동부,23년 고용보험법 최근 개정사항,2023-04-03,2023-04-21
고용노동부,23년 노동조합 및 노동관계조정법 실무,2023-04-03,2023-04-21
고용노동부,23년 취업지원의 이해 및 활용,2023-04-03,2023-04-21
고용노동부,23년 근로기준법의 이해,2023-04-03,2023-04-21
고용노동부,23년 NCS직업분류의 이해,2023-04-03,2023-04-21
고용노동부,23년 청년내일채움공제 업무처리 실무,2023-04-03,2023-04-21
고용노동부,23년 고용안정사업의 이해,2023-04-03,2023-04-21
한국고용노동교육원,5급 핵심역량과정,2023-04-03,2023-04-05
한국고용노동교육원,(직장교육_퇴직연금복지과)최소적립률 미충족 사업장 감독 및 조치방안 교육,2023-04-03,2023-04-03
고용노동부,23년 최저임금법의 이해,2023-04-03,2023-04-21
고용노동부,23년 중대재해처벌법의 이해,2023-04-03,2023-04-21
고용노동부,23년 국민내일배움카드 이해과정,2023-04-03,2023-04-21
고용노동부,23년 임금의 이해,2023-04-03,2023-04-21
고용노동부,23년 노동사범 수사실무,2023-04-03,2023-04-21
고용노동부,23년 실업급여의 이해,2023-04-03,2023-04-21
한국고용노동교육원,[기본]집단노사관계법이해과정,2023-04-03,2023-04-04
공공조달역량개발원,계약업무입문,2023-04-03,2023-04-05
공공조달역량개발원,시설공사계약실무,2023-04-03,2023-04-04
고용노동부,[기본]기계·기구·설비 이해과정(기계·전기),2023-04-04,2023-04-07
국가공무원인재개발원,신임국장과정,2023-04-04,2023-04-06
한국고용정보원,[심화]비대면 청년층 구직역량강화 프로그램(청년취업ON) 진행자 양성과정,2023-04-04,2023-04-07
한국고용노동교육원,"인공지능, 인간지능으로 이해하기",2023-04-04,2023-04-04
한국고용노동교육원,[기본]지역산업맞춤형 채용지원이해과정1(자동차),2023-04-04,2023-04-04
한국고용노동교육원,학습조직 리더양성과정,2023-04-05,2023-04-05
한국고용노동교육원,혁신행동 모델링과정(BL),2023-04-05,2023-04-07
한국고용노동교육원,(직장교육_고용차별개선과)비정규직 담당 근로감독관 직무교육,2023-04-05,2023-04-07
한국고용노동교육원,[기본]지역산업맞춤형 채용지원이해과정2(IT),2023-04-05,2023-04-05
한국고용노동교육원,다(多)비움 다(多)채움 힐링캠프 ,2023-04-06,2023-04-07
한국고용노동교육원,[기본]지역산업맞춤형 채용지원이해과정3(반도체),2023-04-06,2023-04-06
국가공무원인재개발원,반복되는 업무와 자동화(RPA)(교육공지 확인 후 신청),2023-04-06,2023-04-07
한국고용노동교육원,[기본]노동위원회 권역별 현장교육,2023-04-06,2023-04-07
한국고용노동교육원,[기본]지역산업맞춤형 채용지원이해과정4(조선),2023-04-07,2023-04-07
고용노동부,(지정)텍스트데이터 분석,2023-04-10,2023-04-28
감사교육원,감사분야별(계약감사반),2023-04-10,2023-04-12
한국고용노동교육원,[수사핵심]특사경수사역량향상과정,2023-04-10,2023-04-13
한국고용노동교육원,사내전문강사 양성과정 ,2023-04-10,2023-04-12
한국고용노동교육원,[심화]직업진로상담심화과정,2023-04-10,2023-04-12
한국고용노동교육원,[기본]고용보험수사관 수사실무과정,2023-04-10,2023-04-11
고용노동부,(지정)컴퓨팅사고,2023-04-10,2023-04-28
고용노동부,(지정)정형데이터 분석,2023-04-10,2023-04-28
고용노동부,(지정)인공신경망과 딥러닝,2023-04-10,2023-04-28
한국고용노동교육원,[심화]기업지원심화과정,2023-04-10,2023-04-12
고용노동부,(지정)윤리 및 법제도,2023-04-10,2023-04-28
한국고용노동교육원,"8 ,9급 핵심역량과정",2023-04-10,2023-04-12
한국고용노동교육원,성희롱고충상담원과정 ,2023-04-10,2023-04-11
고용노동부,(지정)AI/빅데이터 활용,2023-04-10,2023-04-28
국립국어원,국어전문교육과정(비대면),2023-04-10,2023-04-13
고용노동부,(지정)데이터 시각화,2023-04-10,2023-04-28
국가공무원인재개발원,개인정보보호 실무(교육공지 확인 후 신청),2023-04-10,2023-04-11
고용노동부,(지정)기계학습,2023-04-10,2023-04-28
국가민방위재난안전교육원,비상대비업무 신규실무자과정,2023-04-10,2023-04-11
한국고용노동교육원,[전문]근로감독전문과정,2023-04-10,2023-04-12
고용노동부,건설현장의 안전,2023-04-10,2023-04-28
법무연수원,국가송무과정,2023-04-10,2023-04-14
국가공무원인재개발원,과장후보자과정,2023-04-11,2023-04-13
국가공무원인재개발원,빅데이터 활용 미래예측 대응과정(교육공지 확인 후 신청),2023-04-11,2023-04-13
한국고용노동교육원,7급 핵심역량과정,2023-04-12,2023-04-14
한국고용노동교육원,[심화]실업급여심화과정,2023-04-12,2023-04-14
한국고용노동교육원,[기본]고용업무를 위한 법률이해과정2(민형사법),2023-04-12,2023-04-12
한국고용노동교육원,[심화]취업지원심화과정,2023-04-12,2023-04-14
한국고용정보원,[심화]비대면 취업취약계층 프로그램(마음똑똑심플) 진행자 양성과정,2023-04-12,2023-04-14
한국고용노동교육원,사회적기업업무담당자과정,2023-04-12,2023-04-14
한국고용노동교육원,(직장교육_서울관악지청)근로감독관 업무역량 강화(학습의 날),2023-04-12,2023-04-12
한국고용노동교육원,[기본]잡케어서비스 및 NCS직업분류활용과정,2023-04-13,2023-04-13
한국고용노동교육원,성희롱고충상담원과정 ,2023-04-13,2023-04-14
한국고용노동교육원,[기본]근로시간실무과정,2023-04-13,2023-04-14
공공조달역량개발원,물품구매계약실무,2023-04-13,2023-04-14
한국고용노동교육원,[기본]고용복지실무과정,2023-04-14,2023-04-14
공공조달역량개발원,"나라장터(물품,용역)",2023-04-14,2023-04-14
법무연수원,[수사핵심]특사경수사실무과정,2023-04-17,2023-04-21
한국고용노동교육원,[전문]기업도약보장패키지이해과정,2023-04-17,2023-04-21
한국고용노동교육원,[기본]근로감독기본과정,2023-04-17,2023-04-19
한국고용노동교육원,"몸 ,마음 돌봄을 위한 바디커뮤니케이션 ",2023-04-17,2023-04-18
국가공무원인재개발원,엑셀 VBA 기초 코딩(교육공지 확인 후 신청),2023-04-17,2023-04-19
공공조달역량개발원,소액수의제도 안내,2023-04-17,2023-04-17
국립국어원,국어전문교육과정(비대면),2023-04-17,2023-04-20
법제처,알기 쉬운 법령 만들기,2023-04-17,2023-04-18
한국고용노동교육원,[기본]감독강평과정,2023-04-17,2023-04-19
한국고용정보원,[심화]신중년 재취업설계 프로그램(신호탄) 진행자 양성과정 ,2023-04-18,2023-04-21
한국고용노동교육원,내 삶의 활력을 찾는 힐링캠프(화상),2023-04-19,2023-04-20
국가공무원인재개발원,파이썬 실무 활용(교육공지 확인 후 신청),2023-04-19,2023-04-21
한국고용노동교육원,[심화]직장내괴롭힘과성희롱/성차별과정,2023-04-19,2023-04-21
통계교육원,파이썬 중급 통계분석,2023-04-19,2023-04-21
한국고용노동교육원,5급 승진후보자 역량평가과정,2023-04-19,2023-04-20
산업안전보건교육원,근골격계부담작업 유해요인조사 전문화교육,2023-04-19,2023-04-21
한국고용노동교육원,[심화]조정업무심화과정,2023-04-19,2023-04-21
한국고용노동교육원,[기본][현장]직업심리검사 및 집단상담이해과정,2023-04-20,2023-04-21
한국고용노동교육원,[기본]고용업무를 위한 법률이해과정3(소송법),2023-04-20,2023-04-20
한국고용노동교육원,[수사핵심](현장형)근로감독행정전문과정,2023-04-21,2023-07-14
국가공무원인재개발원,디지털 리터러시 이해하기(교육공지 확인 후 신청),2023-04-24,2023-04-26
한국고용노동교육원,성과관리 리더십과정,2023-04-24,2023-04-26
공공조달역량개발원,자금관리및인생설계,2023-04-24,2023-04-25
법무연수원,국가송무과정,2023-04-24,2023-04-28
한국고용노동교육원,[심화]개별근로관계쟁점사례과정,2023-04-24,2023-04-26
고용노동부,건설장비의 안전 I,2023-04-24,2023-05-12
한국고용노동교육원,[의무]중대재해처벌법 수사과정,2023-04-24,2023-04-26
한국고용노동교육원,7급 승진자 직무과정,2023-04-24,2023-04-28
한국고용노동교육원,보고서 작성의 정석 ,2023-04-24,2023-04-26
고용노동부,[기본]기계·기구·설비 이해과정(기계·전기),2023-04-25,2023-04-28
국가공무원인재개발원,과장후보자과정,2023-04-25,2023-04-27
통계교육원,SAS중급 통계분석,2023-04-25,2023-04-28
한국고용노동교육원,[기본]고용업무를 위한 법률이해과정4(고용기본법),2023-04-25,2023-04-25
국가공무원인재개발원,정보화사업 대가 산정(교육공지 확인 후 신청),2023-04-26,2023-04-28
한국고용정보원,[심화]근로능력수급자 취업능력 향상 프로그램(행복오름) 진행자 양성과정,2023-04-26,2023-04-28
한국고용노동교육원,[수사핵심]근로감독조사면담전문가양성과정1,2023-04-26,2023-04-28
통계교육원,국가통계의 이해,2023-04-26,2023-04-28
한국고용노동교육원,"우리를 다시 상상하다, 리매진(Re-imagine)과정",2023-04-26,2023-04-28
국사편찬위원회,한국사전문교육과정,2023-04-26,2023-04-28
한국고용노동교육원,내면의 나를 찾아 떠나는 마음여행 ,2023-04-26,2023-04-28
한국고용노동교육원,[심화]직업심리검사기법향상과정,2023-04-26,2023-04-28
한국고용노동교육원,[심화]직업능력개발심화과정,2023-04-26,2023-04-28
국립국어원,공공언어 특별과정(1),2023-04-27,2023-04-27
국가공무원인재개발원,쉽게 배우는 인공지능 프로그래밍(교육공지 확인 후 신청),2023-04-27,2023-04-28
한국고용노동교육원,[기본][현장]부정수급이해과정(사업부서담당자),2023-04-28,2023-04-28
한국고용노동교육원,사회적기업업무담당자과정(사회적기업 통합정보시스템 전산실무),2023-04-28,2023-04-28
한국고용노동교육원,[의무]중대재해처벌법 수사과정,2023-05-02,2023-05-04
한국고용노동교육원,특별민원 대응 전문가 양성과정 ,2023-05-02,2023-05-04
한국고용노동교육원,[심화]상담기법 및 도구확장과정,2023-05-02,2023-05-04
한국고용노동교육원,[기본]채용절차의 공정화에 관한 법률이해과정,2023-05-02,2023-05-02
공공조달역량개발원,소액수의제도 안내,2023-05-02,2023-05-02
한국고용노동교육원,구글도구를 활용한 스마트워크,2023-05-02,2023-05-02
한국고용노동교육원,고용정책관리자과정,2023-05-02,2023-05-04
한국고용노동교육원,보안실무관직무능력향상과정,2023-05-03,2023-05-03
한국고용노동교육원,[기본]노동위원회 권역별 현장교육,2023-05-03,2023-05-04
국가공무원인재개발원,보고서를 위한 데이터 시각화(Power BI)(교육공지 확인 후 신청),2023-05-03,2023-05-04
감사교육원,회계분야별(계약업무반),2023-05-03,2023-05-04
국립국어원,공공언어 특별과정(1),2023-05-04,2023-05-04
한국고용노동교육원,[기본][현장]노동시장의 이해과정,2023-05-04,2023-05-04
고용노동부,23년 청년내일채움공제 업무처리 실무,2023-05-08,2023-05-26
고용노동부,23년 노동사범 수사실무,2023-05-08,2023-05-26
고용노동부,23년 고용보험법 최근 개정사항,2023-05-08,2023-05-26
고용노동부,23년 중대재해처벌법의 이해,2023-05-08,2023-05-26
한국전파진흥협회,(직장교육_정보화기획팀) 정보보안 관리자 초급(네트워크 보안),2023-05-08,2023-05-12
고용노동부,23년 고용안정사업의 이해,2023-05-08,2023-05-26
한국고용노동교육원,[기본]고용업무를 위한 법률이해과정1(노동법),2023-05-08,2023-05-09
고용노동부,"23년 근로시간 휴일, 휴가제도의 이해",2023-05-08,2023-05-26
고용노동부,23년 NCS직업분류의 이해,2023-05-08,2023-05-26
한국고용노동교육원,[기본]근로자성판단과정,2023-05-08,2023-05-08
고용노동부,23년 노동조합 및 노동관계조정법 실무,2023-05-08,2023-05-26
한국고용노동교육원,[신규]신규산업안전감독관과정(수사학교),2023-05-08,2023-05-19
고용노동부,23년 실업급여의 이해,2023-05-08,2023-05-26
